W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W
W;;;;;;;;;;;;;;;;;;;;;;;W;W;W;W;W;W;W;W;;;;;;;;;W
W;;;;;;;;;;;;;;;;;;;;;;;;W;W;W;W;W;W;W;W;;;;;;;;W
W;;;;;;;;;;;;;;;;;;;;;;;;;;W;W;W;W;W;W;W;W;;;;;;W
W;;;;;;;;;;;;;;;;;;;;;;;;;;W;W;W;W;W;W;W;;;;;;;W
W;W;C;;;;;;;;;;;;;;;;;;;;;;;;;;W;W;W;W;W;;;;;;;W
W;W;W;W;;;;;;;;;;;;;;;;;;;;;;;;;W;W;W;;;;;;;;;W
W;W;W;W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;W
W;W;W;W;W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;W
W;W;W;W;W;W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;W
W;W;W;W;W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;W
W;W;W;W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;W
W;W;W;W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;W
W;W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;W
W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;W
W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;W
W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;W
W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;W
W;;;;;;;;;;;;;;;;B;B;B;B;;;;;;;;;;;;;;;;;;;;W
W;;;;;;;;;;;;;;;;B;B;B;B;;;;;;;;;;;;;;;;;B;H;H;W
W;;;;;;;;;;;;;;;B;B;B;B;B;B;;;;;;;;;;;;;;;;B;B;B;W
W;;;;;;;;;;;;;;B;B;B;B;B;B;B;B;;;;;;;;;;;;;;B;B;B;B;W
W;;P;;;;;;;;;;;B;B;B;B;B;B;B;B;B;;;;;;;;;;;;;B;B;B;B;B;W
W;;;;;;;;;;;;;B;B;B;B;B;B;B;B;B;B;B;;;;;;;;;B;B;B;B;B;B;B;W
W;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;W
